Invoice_ID,Customer_ID,Customer_Name,Customer_Segment,Region,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Payment_Date,Payment_Status,Invoice_Category,Sales_Rep,Dispute_Flag,Dispute_Reason,Outstanding_Amount,Days_To-Pay,Days_Overdue,Aging_Bucket,Recovery_Priority
INV-0125,CUST-045,Naidu Electrical Systems,SME,Chennai,13-09-2024,13-10-2024,15398,15398,26-10-2024,Late_Paid,Product Sale,Vikram Joshi,No,,0,43,0,Current,None
INV-0126,CUST-046,Rao Automotive Components,SME,Chennai,14-06-2024,14-07-2024,44472,0,,Overdue,Annual License,Anita Reddy,No,,44472,,351,90+ Days,Critical - Escalate Now
INV-0127,CUST-047,Krishnan Textile Mill,SME,Chennai,27-06-2024,27-07-2024,10815,10815,03-09-2024,Late_Paid,Consulting,Karan Mehta,No,,0,68,0,Current,None
INV-0128,CUST-048,Subramaniam Exports Pvt Ltd,SME,Chennai,06-03-2024,05-04-2024,11246,11246,29-03-2024,Paid,Annual License,Divya Singh,No,,0,23,0,Current,None
INV-0129,CUST-049,Pillai Logistics Group,SME,Chennai,07-04-2025,07-05-2025,39826,39826,21-04-2025,Paid,Annual License,Amit Verma,No,,0,14,0,Current,None
INV-0130,CUST-050,Venkatesh Engineering Corp,SME,Chennai,01-02-2024,02-03-2024,48684,48684,03-04-2024,Late_Paid,Consulting,Priya Sharma,No,,0,62,0,Current,None
INV-0131,CUST-051,Srinivasan Polymers,SME,Hyderabad,17-05-2025,16-06-2025,29852,29852,26-06-2025,Late_Paid,Product Sale,Rahul Nair,No,,0,40,0,Current,None
INV-0132,CUST-052,Gowda Agri-Business,SME,Hyderabad,31-05-2024,30-06-2024,26578,26578,25-06-2024,Paid,Annual License,Sneha Patel,No,,0,25,0,Current,None
INV-0133,CUST-053,Ranganathan Softwares,SME,Hyderabad,28-11-2024,28-12-2024,48397,48397,19-12-2024,Paid,Consulting,Vikram Joshi,No,,0,21,0,Current,None
INV-0134,CUST-054,Sivanandam Trading Co.,SME,Hyderabad,08-08-2024,07-09-2024,14001,0,,Disputed,Annual License,Anita Reddy,Yes,Goods Not Received,14001,,296,90+ Days,High - Legal Review
INV-0135,CUST-055,Balakrishnan Real Estate,SME,Hyderabad,21-08-2024,20-09-2024,28516,28516,21-10-2024,Late_Paid,Consulting,Karan Mehta,No,,0,61,0,Current,None
INV-0136,CUST-056,Ramani Manufacturing,SME,Hyderabad,16-11-2024,16-12-2024,14457,14457,25-11-2024,Paid,Maintenance Contract,Divya Singh,No,,0,9,0,Current,None
INV-0137,CUST-057,Vijayalakshmi Heavy Industries,SME,Hyderabad,09-03-2024,08-04-2024,19443,19443,10-05-2024,Late_Paid,Product Sale,Amit Verma,No,,0,62,0,Current,None
INV-0138,CUST-058,Jayaraman Logistics,SME,Hyderabad,16-01-2025,15-02-2025,36004,36004,27-03-2025,Late_Paid,Annual License,Priya Sharma,No,,0,70,0,Current,None
INV-0139,CUST-059,Thomas Marine Eng,SME,Hyderabad,03-12-2024,02-01-2025,31401,19468.62,12-01-2025,Partial,Maintenance Contract,Rahul Nair,No,,11932.38,40,179,90+ Days,Critical - Escalate Now
INV-0140,CUST-060,Sunder Rao Traders,SME,Hyderabad,22-10-2024,21-11-2024,33358,0,,Disputed,Maintenance Contract,Sneha Patel,Yes,Price Mismatch,33358,,221,90+ Days,High - Legal Review
INV-0141,CUST-061,Bharat Industrial Supplies,Retail,Ahmedabad,05-08-2024,04-09-2024,5404,5404,13-08-2024,Paid,Service Fee,Vikram Joshi,No,,0,8,0,Current,None
INV-0142,CUST-062,Coastal Shipping & Logistics,Retail,Ahmedabad,25-04-2024,25-05-2024,6128,0,,Overdue,Annual License,Anita Reddy,No,,6128,,401,90+ Days,Critical - Escalate Now
INV-0143,CUST-063,Summit Engineering Services,Retail,Ahmedabad,27-01-2024,26-02-2024,2378,2378,06-02-2024,Paid,Product Sale,Karan Mehta,No,,0,10,0,Current,None
INV-0144,CUST-064,Apex Mercantile Group,Retail,Ahmedabad,12-11-2024,12-12-2024,3737,3737,22-11-2024,Paid,Product Sale,Divya Singh,No,,0,10,0,Current,None
INV-0145,CUST-065,Horizon Agri-Tech,Retail,Ahmedabad,14-02-2025,16-03-2025,7896,7896,14-03-2025,Paid,Product Sale,Amit Verma,No,,0,28,0,Current,None
INV-0146,CUST-066,Prime Steel Fabricators,Retail,Ahmedabad,08-08-2024,07-09-2024,9569,9569,18-08-2024,Paid,Maintenance Contract,Priya Sharma,No,,0,10,0,Current,None
INV-0147,CUST-067,Unity Wholesale Distributors,Retail,Ahmedabad,20-03-2024,19-04-2024,4304,0,,Overdue,Product Sale,Rahul Nair,No,,4304,,437,90+ Days,Critical - Escalate Now
INV-0148,CUST-068,Zenith Chemical Solutions,Retail,Ahmedabad,20-02-2024,21-03-2024,7304,7304,22-04-2024,Late_Paid,Consulting,Sneha Patel,No,,0,62,0,Current,None
INV-0149,CUST-069,Dynamic Infrastructure Pvt Ltd,Retail,Ahmedabad,28-03-2025,27-04-2025,5637,5637,09-05-2025,Late_Paid,Annual License,Vikram Joshi,No,,0,42,0,Current,None
INV-0150,CUST-070,Global Trade Connect,Retail,Ahmedabad,07-12-2024,06-01-2025,8103,0,,Overdue,Annual License,Anita Reddy,No,,8103,,175,90+ Days,Critical - Escalate Now
INV-0151,CUST-071,Legacy Building Materials,Retail,Kolkata,16-02-2024,17-03-2024,3245,3245,27-02-2024,Paid,Product Sale,Karan Mehta,No,,0,11,0,Current,None
INV-0152,CUST-072,Elite Retail Solutions,Retail,Kolkata,04-08-2024,03-09-2024,3096,3096,19-08-2024,Paid,Maintenance Contract,Divya Singh,No,,0,15,0,Current,None
INV-0153,CUST-073,Vantage Construction Co.,Retail,Kolkata,07-03-2024,06-04-2024,7930,0,,Overdue,Service Fee,Amit Verma,No,,7930,,450,90+ Days,Critical - Escalate Now
INV-0154,CUST-074,Metro Freight Forwarders,Retail,Kolkata,23-08-2024,22-09-2024,7846,7846,22-10-2024,Late_Paid,Product Sale,Priya Sharma,No,,0,60,0,Current,None
INV-0155,CUST-075,Standard Electrical Industries,Retail,Kolkata,22-03-2025,21-04-2025,7658,4747.96,19-04-2025,Partial,Maintenance Contract,Rahul Nair,No,,2910.04,28,70,61-90 Days,High - Manager Call
INV-0156,CUST-076,Integrated Logistics Partners,Retail,Kolkata,15-06-2024,15-07-2024,3326,0,,Overdue,Product Sale,Sneha Patel,No,,3326,,350,90+ Days,Critical - Escalate Now
INV-0157,CUST-077,Continental Trading Syndicate,Retail,Kolkata,16-04-2025,16-05-2025,9390,9390,17-06-2025,Late_Paid,Product Sale,Vikram Joshi,No,,0,62,0,Current,None
INV-0158,CUST-078,Superior Packing Systems,Retail,Kolkata,06-09-2024,06-10-2024,2009,2009,13-09-2024,Paid,Annual License,Anita Reddy,No,,0,7,0,Current,None
INV-0159,CUST-079,Essential Agro Exports,Retail,Kolkata,02-02-2025,04-03-2025,9254,0,,Overdue,Maintenance Contract,Karan Mehta,No,,9254,,118,90+ Days,Critical - Escalate Now
INV-0160,CUST-080,Modern Infrastructure Consultants,Retail,Kolkata,19-03-2024,18-04-2024,7769,7769,09-04-2024,Paid,Annual License,Divya Singh,No,,0,21,0,Current,None
INV-0161,CUST-001,Malhotra Construction Group,Enterprise,Mumbai,23-12-2024,22-01-2025,501618,501618,31-12-2024,Paid,Service Fee,Amit Verma,No,,0,8,0,Current,None
INV-0162,CUST-002,Khanna Electricals & Co.,Enterprise,Mumbai,19-09-2024,19-10-2024,307311,307311,04-11-2024,Late_Paid,Product Sale,Priya Sharma,No,,0,46,0,Current,None
INV-0163,CUST-003,Singh Freight Carriers,Enterprise,Mumbai,20-04-2025,20-05-2025,824533,824533,04-07-2025,Late_Paid,Annual License,Rahul Nair,No,,0,75,0,Current,None
INV-0164,CUST-004,Bhatia Polymers Pvt Ltd,Enterprise,Mumbai,26-11-2024,26-12-2024,854258,854258,28-01-2025,Late_Paid,Service Fee,Sneha Patel,No,,0,63,0,Current,None
INV-0165,CUST-005,Verma Associates,Enterprise,Mumbai,25-04-2025,25-05-2025,673417,491594.41,16-05-2025,Partial,Maintenance Contract,Vikram Joshi,No,,181822.59,21,36,31-60 Days,Medium - Follow Up
INV-0166,CUST-006,Chopra Cold Storage,Enterprise,Mumbai,16-03-2024,15-04-2024,809160,809160,23-04-2024,Late_Paid,Product Sale,Anita Reddy,No,,0,38,0,Current,None
INV-0167,CUST-007,Sethi Textiles & Fabrics,Enterprise,Mumbai,20-10-2024,19-11-2024,674853,674853,13-11-2024,Paid,Annual License,Karan Mehta,No,,0,24,0,Current,None
INV-0168,CUST-008,Aggarwal Spices Trading,Enterprise,Mumbai,28-01-2025,27-02-2025,341526,341526,20-02-2025,Paid,Consulting,Divya Singh,No,,0,23,0,Current,None
INV-0169,CUST-009,Tandon Auto Parts,Enterprise,Mumbai,25-11-2024,25-12-2024,1136568,500089.92,30-12-2024,Partial,Product Sale,Amit Verma,No,,636478.08,35,187,90+ Days,Critical - Escalate Now
INV-0170,CUST-010,Gill Agricultural Implements,Enterprise,Mumbai,06-05-2024,05-06-2024,923401,0,,Overdue,Product Sale,Priya Sharma,No,,923401,,390,90+ Days,Critical - Escalate Now
INV-0171,CUST-011,Dhawan Pharmaceuticals,Mid-Market,Pune,25-03-2025,24-04-2025,61154,61154,10-04-2025,Paid,Maintenance Contract,Rahul Nair,No,,0,16,0,Current,None
INV-0172,CUST-012,Rawat Real Estate,Mid-Market,Pune,31-01-2025,02-03-2025,98721,98721,06-02-2025,Paid,Annual License,Sneha Patel,No,,0,6,0,Current,None
INV-0173,CUST-013,Jain Packaging Solutions,Mid-Market,Pune,09-05-2024,08-06-2024,73723,0,,Overdue,Maintenance Contract,Vikram Joshi,No,,73723,,387,90+ Days,Critical - Escalate Now
INV-0174,CUST-014,Kapur Infrastructure,Mid-Market,Pune,02-06-2024,02-07-2024,179557,179557,16-06-2024,Paid,Maintenance Contract,Anita Reddy,No,,0,14,0,Current,None
INV-0175,CUST-015,Sahni Hospitality Services,Mid-Market,Pune,12-05-2024,11-06-2024,83470,83470,03-06-2024,Paid,Maintenance Contract,Karan Mehta,No,,0,22,0,Current,None
INV-0176,CUST-016,Bakshi Steel Syndicate,Mid-Market,Pune,02-12-2024,01-01-2025,154732,154732,23-12-2024,Paid,Consulting,Divya Singh,No,,0,21,0,Current,None
INV-0177,CUST-017,Sachdeva Marketing Agency,Mid-Market,Pune,19-01-2024,18-02-2024,168982,168982,15-03-2024,Late_Paid,Service Fee,Amit Verma,No,,0,56,0,Current,None
INV-0178,CUST-018,Chawla Hardware Stores,Mid-Market,Pune,15-07-2024,14-08-2024,59252,59252,22-07-2024,Paid,Service Fee,Priya Sharma,No,,0,7,0,Current,None
INV-0179,CUST-019,Oberoi Paper Products,Mid-Market,Pune,24-03-2025,23-04-2025,74541,0,,Overdue,Maintenance Contract,Rahul Nair,No,,74541,,68,61-90 Days,High - Manager Call
INV-0180,CUST-020,Luthra Chemical Works,Mid-Market,Pune,02-04-2024,02-05-2024,183159,0,,Overdue,Service Fee,Sneha Patel,No,,183159,,424,90+ Days,Critical - Escalate Now
INV-0181,CUST-021,Deshmukh Engineering Works,Mid-Market,Delhi,18-06-2024,18-07-2024,147070,147070,15-08-2024,Late_Paid,Consulting,Vikram Joshi,No,,0,58,0,Current,None
INV-0182,CUST-022,Patel Polymers & Plastics,Mid-Market,Delhi,30-03-2025,29-04-2025,167652,167652,21-04-2025,Paid,Service Fee,Anita Reddy,No,,0,22,0,Current,None
INV-0183,CUST-023,Shah Global Exports,Mid-Market,Delhi,12-11-2024,12-12-2024,64898,64898,09-01-2025,Late_Paid,Service Fee,Karan Mehta,No,,0,58,0,Current,None
INV-0184,CUST-024,Kulkarni Consultancy Services,Mid-Market,Delhi,27-09-2024,27-10-2024,71870,0,,Disputed,Consulting,Divya Singh,Yes,Contract Disagreement,71870,,246,90+ Days,High - Legal Review
INV-0185,CUST-025,Joshi Precision Tools,Mid-Market,Delhi,27-01-2024,26-02-2024,120296,0,,Overdue,Maintenance Contract,Amit Verma,No,,120296,,490,90+ Days,Critical - Escalate Now
INV-0186,CUST-026,Mehta Financial Advisors,Mid-Market,Delhi,15-01-2025,14-02-2025,54268,54268,23-01-2025,Paid,Annual License,Priya Sharma,No,,0,8,0,Current,None
INV-0187,CUST-027,Gandhi Trading House,Mid-Market,Delhi,26-03-2024,25-04-2024,194213,194213,16-04-2024,Paid,Consulting,Rahul Nair,No,,0,21,0,Current,None
INV-0188,CUST-028,Sawant Marine Services,Mid-Market,Delhi,21-04-2025,21-05-2025,124013,0,,Disputed,Consulting,Sneha Patel,Yes,Quality Issue,124013,,40,31-60 Days,High - Legal Review
INV-0189,CUST-029,Doshi Dye-Chem Industries,Mid-Market,Delhi,28-02-2025,30-03-2025,114513,114513,17-03-2025,Paid,Service Fee,Vikram Joshi,No,,0,17,0,Current,None
INV-0190,CUST-030,Parikh Logistics & Warehousing,Mid-Market,Delhi,18-01-2025,17-02-2025,97555,97555,14-02-2025,Paid,Product Sale,Anita Reddy,No,,0,27,0,Current,None
INV-0191,CUST-031,Kadam Agro Commodities,SME,Bangalore,29-05-2024,28-06-2024,22206,15544.2,12-06-2024,Partial,Consulting,Karan Mehta,No,,6661.8,14,367,90+ Days,Critical - Escalate Now
INV-0192,CUST-032,Sheth Diamond Traders,SME,Bangalore,04-04-2025,04-05-2025,45126,45126,25-05-2025,Late_Paid,Product Sale,Divya Singh,No,,0,51,0,Current,None
INV-0193,CUST-033,Pawar Heavy Equipments,SME,Bangalore,02-06-2024,02-07-2024,17390,17390,25-07-2024,Late_Paid,Product Sale,Amit Verma,No,,0,53,0,Current,None
INV-0194,CUST-034,Thakkar Food Products,SME,Bangalore,23-11-2024,23-12-2024,48682,0,,Overdue,Consulting,Priya Sharma,No,,48682,,189,90+ Days,Critical - Escalate Now
INV-0195,CUST-035,Kunte Manufacturing Co.,SME,Bangalore,13-04-2025,13-05-2025,19008,19008,05-05-2025,Paid,Annual License,Rahul Nair,No,,0,22,0,Current,None
INV-0196,CUST-036,Modi Retail Chain,SME,Bangalore,04-09-2024,04-10-2024,40242,40242,09-10-2024,Late_Paid,Consulting,Sneha Patel,No,,0,35,0,Current,None
INV-0197,CUST-037,Desai Infrastructure Developers,SME,Bangalore,27-12-2024,26-01-2025,14221,14221,22-01-2025,Paid,Service Fee,Vikram Joshi,No,,0,26,0,Current,None
INV-0198,CUST-038,Raut Metal Castings,SME,Bangalore,04-01-2025,03-02-2025,36048,36048,24-01-2025,Paid,Consulting,Anita Reddy,No,,0,20,0,Current,None
INV-0199,CUST-039,Bhatia Oil Refineries,SME,Bangalore,31-01-2025,02-03-2025,33334,33334,16-02-2025,Paid,Product Sale,Karan Mehta,No,,0,16,0,Current,None
INV-0200,CUST-040,Chavan Logistics Solutions,SME,Bangalore,11-01-2025,10-02-2025,25928,0,,Overdue,Annual License,Divya Singh,No,,25928,,140,90+ Days,Critical - Escalate Now
INV-0201,CUST-041,Iyer & Associates,SME,Chennai,16-05-2024,15-06-2024,30728,30728,19-07-2024,Late_Paid,Service Fee,Amit Verma,No,,0,64,0,Current,None
INV-0202,CUST-042,Reddy Infrastructure Projects,SME,Chennai,05-07-2024,04-08-2024,22056,22056,11-08-2024,Late_Paid,Consulting,Priya Sharma,No,,0,37,0,Current,None
INV-0203,CUST-043,Nair Maritime Agencies,SME,Chennai,25-07-2024,24-08-2024,34111,24559.92,13-08-2024,Partial,Product Sale,Rahul Nair,No,,9551.08,19,310,90+ Days,Critical - Escalate Now
INV-0204,CUST-044,Menon Biotech Labs,SME,Chennai,20-01-2025,19-02-2025,30864,0,,Disputed,Maintenance Contract,Sneha Patel,Yes,Price Mismatch,30864,,131,90+ Days,High - Legal Review
INV-0205,CUST-045,Naidu Electrical Systems,SME,Chennai,19-10-2024,18-11-2024,22588,22588,10-12-2024,Late_Paid,Maintenance Contract,Vikram Joshi,No,,0,52,0,Current,None
INV-0206,CUST-046,Rao Automotive Components,SME,Chennai,22-06-2024,22-07-2024,12856,0,,Disputed,Consulting,Anita Reddy,Yes,Duplicate Invoice,12856,,343,90+ Days,High - Legal Review
INV-0207,CUST-047,Krishnan Textile Mill,SME,Chennai,23-05-2025,22-06-2025,45549,45549,05-06-2025,Paid,Annual License,Karan Mehta,No,,0,13,0,Current,None
INV-0208,CUST-048,Subramaniam Exports Pvt Ltd,SME,Chennai,10-03-2025,09-04-2025,11849,11849,24-03-2025,Paid,Annual License,Divya Singh,No,,0,14,0,Current,None
INV-0209,CUST-049,Pillai Logistics Group,SME,Chennai,15-04-2024,15-05-2024,43223,43223,17-06-2024,Late_Paid,Maintenance Contract,Amit Verma,No,,0,63,0,Current,None
INV-0210,CUST-050,Venkatesh Engineering Corp,SME,Chennai,12-03-2025,11-04-2025,35924,35924,31-03-2025,Paid,Maintenance Contract,Priya Sharma,No,,0,19,0,Current,None
INV-0211,CUST-051,Srinivasan Polymers,SME,Hyderabad,27-12-2024,26-01-2025,43688,28397.2,31-01-2025,Partial,Maintenance Contract,Rahul Nair,No,,15290.8,35,155,90+ Days,Critical - Escalate Now
INV-0212,CUST-052,Gowda Agri-Business,SME,Hyderabad,17-03-2024,16-04-2024,33454,23083.26,19-04-2024,Partial,Maintenance Contract,Sneha Patel,No,,10370.74,33,440,90+ Days,Critical - Escalate Now
INV-0213,CUST-053,Ranganathan Softwares,SME,Hyderabad,05-03-2024,04-04-2024,13602,0,,Overdue,Product Sale,Vikram Joshi,No,,13602,,452,90+ Days,Critical - Escalate Now
INV-0214,CUST-054,Sivanandam Trading Co.,SME,Hyderabad,29-08-2024,28-09-2024,49817,49817,27-10-2024,Late_Paid,Maintenance Contract,Anita Reddy,No,,0,59,0,Current,None
INV-0215,CUST-055,Balakrishnan Real Estate,SME,Hyderabad,15-08-2024,14-09-2024,32374,0,,Disputed,Maintenance Contract,Karan Mehta,Yes,Quality Issue,32374,,289,90+ Days,High - Legal Review
INV-0216,CUST-056,Ramani Manufacturing,SME,Hyderabad,20-05-2024,19-06-2024,11702,6436.1,06-06-2024,Partial,Maintenance Contract,Divya Singh,No,,5265.9,17,376,90+ Days,Critical - Escalate Now
INV-0217,CUST-057,Vijayalakshmi Heavy Industries,SME,Hyderabad,27-01-2024,26-02-2024,38554,38554,26-03-2024,Late_Paid,Annual License,Amit Verma,No,,0,59,0,Current,None
INV-0218,CUST-058,Jayaraman Logistics,SME,Hyderabad,19-04-2024,19-05-2024,47203,0,,Overdue,Consulting,Priya Sharma,No,,47203,,407,90+ Days,Critical - Escalate Now
INV-0219,CUST-059,Thomas Marine Eng,SME,Hyderabad,03-03-2024,02-04-2024,48003,0,,Overdue,Service Fee,Rahul Nair,No,,48003,,454,90+ Days,Critical - Escalate Now
INV-0220,CUST-060,Sunder Rao Traders,SME,Hyderabad,16-03-2024,15-04-2024,39228,39228,11-04-2024,Paid,Product Sale,Sneha Patel,No,,0,26,0,Current,None
INV-0221,CUST-061,Bharat Industrial Supplies,Retail,Ahmedabad,21-12-2024,20-01-2025,7649,7649,04-02-2025,Late_Paid,Maintenance Contract,Vikram Joshi,No,,0,45,0,Current,None
INV-0222,CUST-062,Coastal Shipping & Logistics,Retail,Ahmedabad,09-02-2025,11-03-2025,8015,0,,Overdue,Service Fee,Anita Reddy,No,,8015,,111,90+ Days,Critical - Escalate Now
INV-0223,CUST-063,Summit Engineering Services,Retail,Ahmedabad,30-08-2024,29-09-2024,8729,8729,21-09-2024,Paid,Maintenance Contract,Karan Mehta,No,,0,22,0,Current,None
INV-0224,CUST-064,Apex Mercantile Group,Retail,Ahmedabad,12-01-2025,11-02-2025,3249,1299.6,24-01-2025,Partial,Annual License,Divya Singh,No,,1949.4,12,139,90+ Days,Critical - Escalate Now
INV-0225,CUST-065,Horizon Agri-Tech,Retail,Ahmedabad,11-02-2025,13-03-2025,8878,8878,01-03-2025,Paid,Annual License,Amit Verma,No,,0,18,0,Current,None
INV-0226,CUST-066,Prime Steel Fabricators,Retail,Ahmedabad,26-08-2024,25-09-2024,9173,0,,Disputed,Product Sale,Priya Sharma,Yes,Duplicate Invoice,9173,,278,90+ Days,High - Legal Review
INV-0227,CUST-067,Unity Wholesale Distributors,Retail,Ahmedabad,18-12-2024,17-01-2025,4100,4100,05-01-2025,Paid,Service Fee,Rahul Nair,No,,0,18,0,Current,None
INV-0228,CUST-068,Zenith Chemical Solutions,Retail,Ahmedabad,26-02-2024,27-03-2024,2068,2068,11-04-2024,Late_Paid,Maintenance Contract,Sneha Patel,No,,0,45,0,Current,None
INV-0229,CUST-069,Dynamic Infrastructure Pvt Ltd,Retail,Ahmedabad,26-11-2024,26-12-2024,7615,7615,17-12-2024,Paid,Maintenance Contract,Vikram Joshi,No,,0,21,0,Current,None
INV-0230,CUST-070,Global Trade Connect,Retail,Ahmedabad,16-11-2024,16-12-2024,4783,0,,Overdue,Service Fee,Anita Reddy,No,,4783,,196,90+ Days,Critical - Escalate Now
INV-0231,CUST-071,Legacy Building Materials,Retail,Kolkata,19-03-2024,18-04-2024,5205,0,,Disputed,Annual License,Karan Mehta,Yes,Contract Disagreement,5205,,438,90+ Days,High - Legal Review
INV-0232,CUST-072,Elite Retail Solutions,Retail,Kolkata,11-02-2024,12-03-2024,3694,0,,Overdue,Product Sale,Divya Singh,No,,3694,,475,90+ Days,Critical - Escalate Now
INV-0233,CUST-073,Vantage Construction Co.,Retail,Kolkata,28-09-2024,28-10-2024,6431,6431,12-12-2024,Late_Paid,Annual License,Amit Verma,No,,0,75,0,Current,None
INV-0234,CUST-074,Metro Freight Forwarders,Retail,Kolkata,04-09-2024,04-10-2024,6577,0,,Overdue,Maintenance Contract,Priya Sharma,No,,6577,,269,90+ Days,Critical - Escalate Now
INV-0235,CUST-075,Standard Electrical Industries,Retail,Kolkata,19-02-2025,21-03-2025,6769,6769,01-03-2025,Paid,Product Sale,Rahul Nair,No,,0,10,0,Current,None
INV-0236,CUST-076,Integrated Logistics Partners,Retail,Kolkata,01-03-2025,31-03-2025,6512,3321.12,21-03-2025,Partial,Maintenance Contract,Sneha Patel,No,,3190.88,20,91,90+ Days,Critical - Escalate Now
INV-0237,CUST-077,Continental Trading Syndicate,Retail,Kolkata,19-12-2024,18-01-2025,6103,6103,09-01-2025,Paid,Maintenance Contract,Vikram Joshi,No,,0,21,0,Current,None
INV-0238,CUST-078,Superior Packing Systems,Retail,Kolkata,16-05-2024,15-06-2024,6445,0,,Overdue,Product Sale,Anita Reddy,No,,6445,,380,90+ Days,Critical - Escalate Now
INV-0239,CUST-079,Essential Agro Exports,Retail,Kolkata,10-09-2024,10-10-2024,7491,7491,27-09-2024,Paid,Maintenance Contract,Karan Mehta,No,,0,17,0,Current,None
INV-0240,CUST-080,Modern Infrastructure Consultants,Retail,Kolkata,04-03-2025,03-04-2025,6427,6427,14-05-2025,Late_Paid,Maintenance Contract,Divya Singh,No,,0,71,0,Current,None
INV-0241,CUST-001,Malhotra Construction Group,Enterprise,Mumbai,27-08-2024,26-09-2024,886690,0,,Overdue,Annual License,Amit Verma,No,,886690,,277,90+ Days,Critical - Escalate Now
INV-0242,CUST-002,Khanna Electricals & Co.,Enterprise,Mumbai,11-11-2024,11-12-2024,1324060,1324060,02-12-2024,Paid,Consulting,Priya Sharma,No,,0,21,0,Current,None
INV-0243,CUST-003,Singh Freight Carriers,Enterprise,Mumbai,03-09-2024,03-10-2024,950644,950644,09-09-2024,Paid,Product Sale,Rahul Nair,No,,0,6,0,Current,None
INV-0244,CUST-004,Bhatia Polymers Pvt Ltd,Enterprise,Mumbai,21-05-2025,20-06-2025,497277,497277,12-06-2025,Paid,Maintenance Contract,Sneha Patel,No,,0,22,0,Current,None
INV-0245,CUST-005,Verma Associates,Enterprise,Mumbai,20-04-2024,20-05-2024,1068465,1068465,19-06-2024,Late_Paid,Maintenance Contract,Vikram Joshi,No,,0,60,0,Current,None
INV-0246,CUST-006,Chopra Cold Storage,Enterprise,Mumbai,16-02-2024,17-03-2024,279703,279703,09-03-2024,Paid,Maintenance Contract,Anita Reddy,No,,0,22,0,Current,None
INV-0247,CUST-007,Sethi Textiles & Fabrics,Enterprise,Mumbai,16-03-2024,15-04-2024,938032,938032,29-03-2024,Paid,Annual License,Karan Mehta,No,,0,13,0,Current,None
INV-0248,CUST-008,Aggarwal Spices Trading,Enterprise,Mumbai,10-02-2025,12-03-2025,1468408,0,,Disputed,Consulting,Divya Singh,Yes,Quality Issue,1468408,,110,90+ Days,High - Legal Review
INV-0249,CUST-009,Tandon Auto Parts,Enterprise,Mumbai,09-01-2025,08-02-2025,607004,607004,30-01-2025,Paid,Annual License,Amit Verma,No,,0,21,0,Current,None
